ID,Title,Authors,Year,Venue
1,Classifier or prompt: A case study on legal requirements traceability,"Romina Etezadi, Sallam Abualhaija, Chetan Arora, Lionel Briand",2026,Empirical Software Engineering
2,Evaluating the Use of LLMs for Documentation to Code Traceability,"Ebube Alor, SayedHassan Khatoonabadi, Emad Shihab",2026,ACM Transactions on Software Engineering and Methodology
3,RAG for Smarter Resume Analysis: Beyond Basic LLMs,Igor Zuykov,2025,The American Journal of Engineering And Technology
4,eSapiens's DEREK Module: Deep Extraction & Reasoning Engine for Knowledge with LLMs,"Shi, Isaac, Li, Zeyuan, Liu, Fan, Wang, Wenli, He, Lewei +2 more",2025,ArXiv.org
5,TRACE: Temporal Rhetorical Analysis and Consistency Evaluation for Legislative Speech,"Hernandez, David",2026,DigitalCommons@CalPoly
6,Enhancing Requirement-to-Code Traceability via Chain-of-Thought Prompting in Large Language Models,"Wenqing Wang, Ye Wang, Liping Zhao, Qiao Huang, Bo Jiang",2025,"Zhejiang Gongshang University, University of Manchester"
7,A Heterogeneous Temporal Memory Governance Framework for Long-Term LLM Persona Consistency,"Yang, Zhao, Huan, Wang, Yingshuo, Li, Haomiao, Tu, Hujite, Lin",2026,ArXiv.org
8,EmotionGraphRAG: Enhancing LLM-Based Emotion Analysis through Graph Retrieval-Augmented Generation,Fangzheng Ye,2025,Tianjin University
9,From Learning Resources to Competencies: LLM-Based Tagging with Evidence and Graph Constraints,"Ng?c Luy?n Là, Marie-HÇläne Abel, Bertrand Laforge",2026,Lecture notes in computer science
10,CVPD at QIAS 2026: RAG-Guided LLM Reasoning for Al-Mawarith Share Computation and Heir Allocation,"Swaileh, Wassim, Zighem, Mohammed-En-Nadhir, Telli, Hichem, Bekhouche, Salah Eddine, Sellam, Abdellah Zakaria, Dornaika, Fadi, Kotzinos, Dimitrios (less)",2026,ArXiv.org
11,Decision-Aware Memory Cards: Counterfactual-Inspired Context Selection and Compression for Tool-Using LLM Agents,"Guan, Xinyu, Zhao, Qianyang, Deng, Yuming",2026,ArXiv.org
12,Think Harder and Don't Overlook Your Options: Revisiting Issue-Commit Linking with LLM-Assisted Retrieval,"Morgan, Cole, Asaduzzaman, Muhammad, Chowdhurry, Shaiful, Wang, Shaowei",2026,arXiv (Cornell University)
13,"anan5093/Enterprise-RAG-Intelligence: Building a Secure Enterprise RAG System: RBAC Enforcement, OWASP LLM Defenses, and Zero-Trust Context Pipelines",Anand Raj,2026,Zenodo (CERN European Organization for Nuclear Research)
14,Source Code Error Categorization and Explanation by Retrieval Augmented Generation,"Md Faizul Ibne Amin, Yutaka Watanobe, Md. Mostafizer Rahman, Md. Shahajada Mia, Daniel M. Muepu",2026,"University of Aizu, Tulane University"
15,Integrating Knowledge Graph with Retrieval-Augmented Generation for Vietnamese Legal Question Answering,"Vuong T Pham, Minh Phan",2025,DS Journal of Digital Science and Technology
16,EduChatQA: curriculum-aware hybrid retrieval and teacher-aligned prompting for textbook-grounded educational QA,"Jingqiang Guan, Jialu Li, Kun Hou, Jingyuan Li",2026,Complex & Intelligent Systems
17,Emergency Operation Scheme Generation for Urban Rail Transit Train Door Systems Using Retrieval-Augmented Large Language Models,"Lu Huang, Zhigang Liu, Chengcheng Yu, Tianliang Zhu, Bing Yan",2026,Sensors
18,The Section-Recall Ceiling: A Null Result for Hierarchical Retrieval on Multi-Hop Document QA,"Lee, Yu-Ting",2026,Zenodo (CERN European Organization for Nuclear Research)
19,Section-Recall Bottlenecks Hierarchical Retrieval on Multi-Hop Document QA: A Null Result Across Three Retriever Families,"Lee, Yu-Ting",2026,Zenodo (CERN European Organization for Nuclear Research)
20,HART: Data-Driven Hallucination Attribution and Evidence-Based Tracing for Large Language Models,"Liang, Shize, Wang, Hongzhi",2026,arXiv (Cornell University)
21,LocalRAG: A Privacy-Preserving Offline Framework for Multi-PDF Question Answering,Ranga Rao Velamala,2026,International Journal of Computer Applications Technology and Research
22,A Controlled Re-evaluation of RAG Knowledge-Poisoning Defenses,"Wang, Shanshan, Zhu, Sizheng, Xu, Ye, Ge, Xin, Wang, Dan",2026,Zenodo (CERN European Organization for Nuclear Research)
23,Multi-Route Search and Adaptive Fusion for Power QA with Small Language Model Guidance,"Zhijun Shen, Qian Guo, Lizhou Jiang, Jingkang Huang, Zhenfan Yu, Xinlei Cai, Hailin Pang, Tao Yu (less)",2026,Algorithms
24,Ep. 1914: Google Invented RAG's Secret Sauce,"Rosehill, Daniel, Gemini 3.1 (Flash), Chatterbox TTS",2026,Zenodo (CERN European Organization for Nuclear Research)
25,Embedding Model Deprecation: RAG's Silent Killer,"Rosehill, Daniel, Gemini 3.1 (Flash), Chatterbox TTS",2026,Open MIND
26,NicheAgent: LLM-Guided Zero-Shot Niche Identification for Spatial Transcriptomics,"Sajib Acharjee Dip, Liqing Zhang",2025,bioRxiv (Cold Spring Harbor Laboratory)
