id;title;authors;year;venue;search_string
1;Information retrieval versus deep learning approaches for generating traceability links in bilingual projects;Jinfeng Lin and Yalin Liu and Jane Cleland-Huang;2021;Empirical Software Engineering;"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
2;Text clustering and active learning using a lsi subspace signature model and query expansion;Robert B. Allen and Weizhong Zhu;2009;;"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
3;Scoring Methods in Information Retrieval: A Linear Algebra Perspective;Avinash Atreya;2011;;"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
4;On the Equivalence of Information Retrieval Methods for Automated Traceability Link Recovery: A Ten-Year Retrospective;Rocco Oliveto and Malcom Gethers and Denys Poshyvanyk and Andrea De Lucia;2020;2020 IEEE/ACM 28th International Conference on Program Comprehension (ICPC);"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
5;Traceability Support for Multi-Lingual Software Projects;Yalin Liu and Jinfeng Lin and Jane Cleland-Huang;2020;2020 IEEE/ACM 17th International Conference on Mining Software Repositories (MSR);"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
6;Text Mining Through Label Induction Grouping Algorithm Based Method;Gulshan Saleem and Nisar Ahmed and Usman Qamar;2021;ArXiv;"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
7;On the Equivalence of Information Retrieval Methods for Automated Traceability Link Recovery;Rocco Oliveto and Malcom Gethers and Denys Poshyvanyk and Andrea De Lucia;2010;2010 IEEE 18th International Conference on Program Comprehension;"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
8;Eye movements in software traceability link recovery;Bonita Sharif and John Meinken and Timothy Shaffer and Huzefa H. Kagdi;2017;Empirical Software Engineering;"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
9;Comparison of Information Retrieval Techniques for Traceability Link Recovery;Danissa V. Rodriguez and Doris L. Carver;2019;2019 IEEE 2nd International Conference on Information and Computer Technologies (ICICT);"(""GPT-4"" OR ""GPT4"" OR ""large language model"" OR ""LLM"" OR ""prompting"") AND (""traceability link"" OR ""software traceability"" OR ""traceability recovery"" OR ""requirement-to-source-code"") AND (""information retrieval"" OR ""VSM"" OR ""LSI"" OR ""BM25"" OR ""vector space model"")"
10;A Multi-Stage Hybrid Retrieval Framework for the Scientific Literature with Cross-Encoder Re-Ranking;Walaa Aljoofi and Alaa El. Sagheer and Hala Hamdoun;2026;Applied Sciences;"(""GPT-4"" OR ""zero-shot"") AND (""traceability"" OR ""traceability link"") AND (""CoEST"" OR ""benchmark"") AND (""MAP"" OR ""MAP@10"" OR ""Recall"" OR ""VSM"" OR ""LSI"" OR ""BM25"")"
